City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chifeng,CN,42.2683,118.9636,10.15,50,86,4.79,overcast clouds
80,Sao Filipe,CV,14.8961,-24.4956,76.55,63,18,9.8,few clouds
81,Shingu,JP,33.7333,135.9833,37.38,66,6,18.25,clear sky
82,Dingle,PH,10.9995,122.6711,75.02,89,100,11.23,overcast clouds
83,Bilibino,RU,68.0546,166.4372,5.16,76,0,5.23,clear sky
84,Narsaq,GL,60.9167,-46.05,10.62,67,0,7.38,clear sky
85,Ejura,GH,7.3856,-1.3562,78.33,23,31,3.06,scattered clouds
86,Baculin,PH,7.4525,126.5842,77.4,89,60,4.34,broken clouds
87,Hofn,IS,64.2539,-15.2082,20.21,57,98,11.5,overcast clouds
88,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,71,81,13.98,broken clouds
89,Yangambi,CD,0.8102,24.4336,69.62,97,100,2.82,overcast clouds
90,Port Hardy,CA,50.6996,-127.4199,33.98,80,100,25.32,light rain
91,Buldana,IN,20.5333,76.1833,65.53,44,0,6.78,clear sky
92,Dunmore Town,BS,25.5,-76.65,77.54,78,100,14.05,overcast clouds
93,Myanaung,MM,18.2833,95.3167,69.66,71,77,2.01,broken clouds
94,Hermanus,ZA,-34.4187,19.2345,66.79,84,100,11.7,overcast clouds
95,Cherskiy,RU,68.75,161.3,-3.1,86,1,0.38,clear sky
96,Puerto Ayora,EC,-0.7393,-90.3518,84.16,91,53,5.99,broken clouds
97,Charters Towers,AU,-20.1,146.2667,71.91,87,100,8.03,overcast clouds
98,Hambantota,LK,6.1241,81.1185,78.01,83,70,3.71,broken clouds
99,Smithers,CA,54.7804,-127.1743,-3.68,77,100,6.91,light snow
100,Rambouillet,FR,48.5833,1.9167,54.59,89,100,16.67,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,73.09,92,100,9.22,thunderstorm with rain
102,Cabo San Lucas,MX,22.8909,-109.9124,82.62,60,0,2.3,clear sky
103,Grindavik,IS,63.8424,-22.4338,19.87,79,20,5.75,light snow
104,Nikolskoye,RU,59.7035,30.7861,35.49,99,100,8.43,overcast clouds
105,Wasilla,US,61.5814,-149.4394,11.62,51,100,49.48,snow
106,Opuwo,NA,-18.0607,13.84,76.32,44,34,7.9,scattered clouds
107,Gizo,SB,-8.103,156.8419,80.15,80,100,7.83,overcast clouds
108,Kruisfontein,ZA,-34.0033,24.7314,64.89,83,63,5.12,broken clouds
109,East London,ZA,-33.0153,27.9116,70.02,91,100,4.72,light rain
110,Bochnia,PL,49.9691,20.4303,41.11,87,100,4.32,overcast clouds
111,Karratha,AU,-20.7377,116.8463,80.44,61,67,8.99,broken clouds
112,Labuan,MY,5.2767,115.2417,77.36,94,40,3.44,scattered clouds
113,Broome,US,42.2506,-75.833,19.78,89,100,21.85,snow
114,Puerto Quijarro,BO,-17.7833,-57.7667,93.65,34,93,1.79,overcast clouds
115,Brae,GB,60.3964,-1.353,36.64,67,97,11.99,overcast clouds
116,Puerto Rondon,CO,6.2805,-71.1,89.76,36,5,12.84,clear sky
117,Lamu,KE,-2.2717,40.902,80.82,82,99,11.48,overcast clouds
118,Juneau,US,58.3019,-134.4197,19.22,86,100,9.22,light snow
119,Isangel,VU,-19.55,169.2667,81.36,75,100,7.34,overcast clouds
120,Roros,NO,62.5747,11.3842,12.04,92,75,6.91,light snow
121,Pinega,RU,64.7001,43.3936,31.48,96,100,6.6,overcast clouds
122,Doba,TD,8.65,16.85,70.9,28,3,5.59,clear sky
123,Necochea,AR,-38.5473,-58.7368,65.52,88,100,18.72,overcast clouds
124,Norman Wells,CA,65.282,-126.8329,-18.71,100,100,3.04,overcast clouds
125,Hithadhoo,MV,-0.6,73.0833,81.66,71,77,19.1,broken clouds
126,Saint-Philippe,RE,-21.3585,55.7679,80.19,84,99,7.0,overcast clouds
127,Kaitangata,NZ,-46.2817,169.8464,52.83,96,100,2.93,overcast clouds
128,Ancud,CL,-41.8697,-73.8203,58.06,52,32,9.24,scattered clouds
129,Chapais,CA,49.7834,-74.8492,24.58,89,100,27.25,snow
130,Hare Bay,CA,48.8499,-54.0148,27.75,69,46,4.14,scattered clouds
131,Tiksi,RU,71.6872,128.8694,-11.67,100,100,3.8,overcast clouds
132,Ribeira Grande,PT,38.5167,-28.7,59.4,58,75,23.02,light rain
133,Pong,TH,19.1493,100.2752,69.51,82,89,2.64,overcast clouds
134,Thinadhoo,MV,0.5333,72.9333,81.73,71,59,18.23,broken clouds
135,Soria,ES,41.6667,-2.6667,44.85,99,100,5.46,overcast clouds
136,Lorengau,PG,-2.0226,147.2712,81.82,82,100,11.65,overcast clouds
137,Margate,GB,51.3813,1.3862,50.9,85,47,4.0,scattered clouds
138,Clyde River,CA,70.4692,-68.5914,-16.37,69,40,4.61,scattered clouds
139,Sarkand,KZ,45.41,79.9186,9.23,64,9,7.05,clear sky
140,Nyurba,RU,63.2842,118.3319,-35.81,100,20,2.84,few clouds
141,Mahebourg,MU,-20.4081,57.7,78.26,78,40,3.44,scattered clouds
142,Tasiilaq,GL,65.6145,-37.6368,8.76,68,0,4.41,clear sky
143,New Norfolk,AU,-42.7826,147.0587,58.5,75,100,1.99,overcast clouds
144,Whitecourt,CA,54.1502,-115.6855,-19.16,76,100,6.91,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,65.3,83,20,17.52,few clouds
146,Samarinda,ID,-0.5,117.15,73.22,98,100,1.92,overcast clouds
147,Tignere,CM,7.3667,12.65,66.16,36,8,3.44,clear sky
148,Preobrazheniye,RU,42.9019,133.9064,19.24,77,36,12.15,scattered clouds
149,San Patricio,US,28.017,-97.5169,30.06,18,69,15.14,broken clouds
150,Akyab,MM,20.15,92.9,66.43,66,65,9.15,broken clouds
151,Praia,CV,14.9215,-23.5087,77.54,69,20,12.66,few clouds
152,Wadi Musa,JO,30.3222,35.4793,46.49,85,40,6.22,scattered clouds
153,Kristiinankaupunki,FI,62.2743,21.376,31.93,69,4,17.85,clear sky
154,Hobyo,SO,5.3505,48.5268,77.9,79,90,13.29,overcast clouds
155,Wenatchee,US,47.4235,-120.3103,15.66,80,100,3.44,light snow
156,Esperance,AU,-33.8667,121.9,63.14,68,0,3.53,clear sky
157,Sedkyrkeshch,RU,61.75,50.9167,30.47,93,75,6.71,broken clouds
158,Matadi,CD,-5.8167,13.45,76.17,92,94,2.55,overcast clouds
159,Nhulunbuy,AU,-12.2333,136.7667,81.21,89,93,5.75,overcast clouds
160,Santarem,BR,-2.4431,-54.7083,84.33,74,75,6.91,broken clouds
161,Dikson,RU,73.5069,80.5464,-5.96,91,100,25.64,overcast clouds
162,Srednekolymsk,RU,67.45,153.6833,-20.52,89,5,2.75,clear sky
163,Omboue,GA,-1.5746,9.2618,77.72,81,63,2.73,broken clouds
164,Portland,US,45.5234,-122.6762,28.8,91,100,14.97,mist
165,Cayenne,GF,4.9333,-52.3333,82.44,69,75,9.22,broken clouds
166,Avarua,CK,-21.2078,-159.775,80.65,74,31,11.5,scattered clouds
167,Ixtapa,MX,20.7,-105.2,88.66,27,1,7.14,clear sky
168,Grand Gaube,MU,-20.0064,57.6608,78.39,68,6,5.01,clear sky
169,Vestmannaeyjar,IS,63.4427,-20.2734,28.0,67,94,7.16,overcast clouds
170,Khvatovka,RU,52.3524,46.5628,26.87,87,100,7.83,overcast clouds
171,Tuatapere,NZ,-46.1333,167.6833,55.51,84,100,0.92,overcast clouds
172,Namatanai,PG,-3.6667,152.4333,79.36,82,75,5.61,broken clouds
173,Kidal,ML,18.4411,1.4078,64.67,20,39,10.27,scattered clouds
174,Langfang,CN,39.5097,116.6947,18.55,27,0,6.67,clear sky
175,Puerto Escondido,MX,15.85,-97.0667,85.03,65,40,10.36,scattered clouds
176,Atuona,PF,-9.8,-139.0333,77.43,80,21,17.65,light rain
177,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,0,4.61,clear sky
178,Bambous Virieux,MU,-20.3428,57.7575,78.22,78,40,3.44,scattered clouds
179,Moerai,PF,-22.4333,-151.3333,75.97,77,52,16.98,broken clouds
180,College,US,64.8569,-147.8028,-4.79,68,0,8.05,clear sky
181,Natal,BR,-5.795,-35.2094,84.85,69,75,16.11,broken clouds
182,Avera,US,33.194,-82.5271,31.51,21,63,21.23,broken clouds
183,Rusera,IN,25.75,86.0333,58.28,35,0,3.06,clear sky
184,Khatanga,RU,71.9667,102.5,-30.06,99,79,4.12,broken clouds
185,Parati,BR,-23.2178,-44.7131,69.6,93,100,4.68,overcast clouds
186,Napa,US,38.4832,-122.3344,54.43,71,100,2.89,overcast clouds
187,Zruc Nad Sazavou,CZ,49.7401,15.1061,45.32,99,100,3.06,moderate rain
188,Santa Rosa,PH,14.3122,121.1114,77.09,73,93,14.5,overcast clouds
189,Manta,EC,-0.95,-80.7333,83.98,65,20,10.36,few clouds
