City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Akoupe,CI,2022-12-18 19:31:45,6.39,-3.9003,78.49,72,56,3.49
67,Orange Cove,US,2022-12-18 19:31:46,36.6244,-119.3137,65.28,100,0,5.75
68,Rosita,NI,2022-12-18 19:31:47,13.9268,-84.4032,84.34,56,60,4.38
69,Champerico,GT,2022-12-18 19:31:47,14.3,-91.9167,91.94,65,0,6.93
70,Bredasdorp,ZA,2022-12-18 19:31:48,-34.5322,20.0403,65.79,72,66,5.99
71,Airai,TL,2022-12-18 19:31:49,-8.9266,125.4092,58.86,90,66,0.76
72,Port-Gentil,GA,2022-12-18 19:31:50,-0.7193,8.7815,82.36,83,40,6.91
73,Opuwo,NA,2022-12-18 19:31:50,-18.0607,13.84,72.21,35,38,11.05
74,Luderitz,NA,2022-12-18 19:31:51,-26.6481,15.1594,66.96,80,0,20.6
75,High Level,CA,2022-12-18 19:31:52,58.5169,-117.136,-14.69,76,75,8.05
76,Blackwater,AU,2022-12-18 19:31:52,-23.5833,148.8833,68.11,73,24,10.89
77,Bor,RU,2022-12-18 19:31:54,56.3567,44.0669,19.33,95,100,11.32
78,Tabou,CI,2022-12-18 19:31:55,4.423,-7.3528,79.63,76,100,5.79
79,Cherskiy,RU,2022-12-18 19:31:56,68.75,161.3,13.08,81,89,4.18
80,Coquimbo,CL,2022-12-18 19:31:57,-29.9533,-71.3436,67.73,68,20,12.66
81,Kruisfontein,ZA,2022-12-18 19:31:58,-34.0033,24.7314,66.88,72,97,5.03
82,Sechura,PE,2022-12-18 19:31:58,-5.5569,-80.8222,78.24,60,97,16.69
83,Yulara,AU,2022-12-18 19:31:59,-25.2406,130.9889,69.87,63,0,8.39
84,Micheweni,TZ,2022-12-18 19:32:00,-4.9667,39.8333,81.34,79,22,13.04
85,Sena Madureira,BR,2022-12-18 19:32:00,-9.0656,-68.6569,87.21,55,100,2.59
86,Lisala,CD,2022-12-18 19:32:01,2.15,21.5167,73.78,74,26,1.7
87,Baruun-Urt,MN,2022-12-18 19:32:02,46.6806,113.2792,-8.18,97,15,3.56
88,Sioux Lookout,CA,2022-12-18 19:32:03,50.1001,-91.917,5.07,78,100,10.36
89,Santa Cruz,BO,2022-12-18 19:32:06,-17.8,-63.1667,77.05,73,75,14.97
90,Saskylakh,RU,2022-12-18 19:32:06,71.9167,114.0833,-46.14,100,62,1.39
91,Birjand,IR,2022-12-18 19:32:07,32.8663,59.2211,37.87,52,0,6.91
92,Xining,CN,2022-12-18 19:33:08,36.6167,101.7667,11.82,62,17,2.71
93,Bougouni,ML,2022-12-18 19:33:09,11.417,-7.479,79.7,17,12,5.5
94,Faanui,PF,2022-12-18 19:33:10,-16.4833,-151.75,79.2,77,100,10.22
95,Norman Wells,CA,2022-12-18 19:33:11,65.282,-126.8329,-9.36,84,100,17.27
96,Toamasina,MG,2022-12-18 19:33:12,-18.1667,49.3833,77.0,88,40,3.44
97,Saint-Augustin,CA,2022-12-18 19:33:13,51.226,-58.6502,34.14,97,100,21.59
98,Constitucion,CL,2022-12-18 19:33:14,-35.3333,-72.4167,66.33,64,23,17.13
99,Ayan,RU,2022-12-18 19:33:15,56.45,138.1667,-11.07,91,100,18.41
100,Lukulu,ZM,2022-12-18 19:33:15,-14.3707,23.242,67.5,94,100,4.25
101,Kununurra,AU,2022-12-18 19:32:13,-15.7667,128.7333,75.18,94,75,4.61
102,Tuktoyaktuk,CA,2022-12-18 19:33:17,69.4541,-133.0374,-18.4,76,20,11.5
103,Sarangani,PH,2022-12-18 19:33:18,5.4033,125.4636,79.43,81,100,9.62
104,East London,ZA,2022-12-18 19:33:19,-33.0153,27.9116,67.51,74,99,4.03
105,Wewak,PG,2022-12-18 19:33:19,-3.5534,143.6268,77.54,89,100,4.32
106,Bengkulu,ID,2022-12-18 19:33:20,-3.8004,102.2655,74.86,86,22,4.94
107,Fengcheng,CN,2022-12-18 19:33:21,40.4536,124.0717,6.24,39,1,1.7
108,Ulaanbaatar,MN,2022-12-18 19:33:22,47.9077,106.8832,-20.07,69,0,0.0
109,Asau,RO,2022-12-18 19:33:24,46.4333,26.4,24.28,81,100,2.06
110,Broken Hill,AU,2022-12-18 19:33:24,-31.95,141.4333,67.03,33,37,15.3
111,Lawrenceburg,US,2022-12-18 19:33:25,38.0373,-84.8966,37.56,56,75,10.36
112,Kapaa,US,2022-12-18 19:33:26,22.0752,-159.319,68.32,94,100,4.61
113,Khash,IR,2022-12-18 19:33:26,28.2211,61.2158,42.55,51,0,4.27
114,Maniwaki,CA,2022-12-18 19:33:27,46.3834,-75.966,28.78,80,84,3.44
115,Richards Bay,ZA,2022-12-18 19:33:28,-28.783,32.0377,72.07,73,88,10.54
116,Goderich,CA,2022-12-18 19:30:48,43.7501,-81.7165,34.92,75,100,23.02
117,Carnarvon,AU,2022-12-18 19:33:29,-24.8667,113.6333,75.81,64,26,9.55
118,Port Elizabeth,ZA,2022-12-18 19:33:30,-33.918,25.5701,69.31,75,75,8.05
119,Grahamstown,ZA,2022-12-18 19:33:30,-33.3042,26.5328,58.95,89,65,3.65
120,Bilibino,RU,2022-12-18 19:33:31,68.0546,166.4372,22.01,78,100,6.64
121,Bowen,AU,2022-12-18 19:33:32,-20.0167,148.2333,78.76,61,63,19.82
122,Mirador,BR,2022-12-18 19:33:33,-6.3708,-44.3631,83.71,68,84,1.99
123,Ribeira Grande,PT,2022-12-18 19:33:33,38.5167,-28.7,63.77,77,20,28.77
124,Carutapera,BR,2022-12-18 19:33:34,-1.195,-46.02,82.98,66,19,8.43
125,Meulaboh,ID,2022-12-18 19:33:37,4.1363,96.1285,74.93,90,100,5.17
126,Pisco,PE,2022-12-18 19:33:38,-13.7,-76.2167,74.01,78,0,10.36
127,Te Anau,NZ,2022-12-18 19:33:38,-45.4167,167.7167,52.9,82,99,1.81
128,Mahebourg,MU,2022-12-18 19:33:39,-20.4081,57.7,78.26,78,40,12.66
129,Francistown,BW,2022-12-18 19:33:40,-21.17,27.5079,79.57,53,99,7.23
130,Capao Da Canoa,BR,2022-12-18 19:28:46,-29.7456,-50.0097,69.51,83,100,19.46
131,Nemuro,JP,2022-12-18 19:33:42,43.3236,145.575,20.93,62,0,22.35
132,Villa Rica,US,2022-12-18 19:32:41,33.7321,-84.9191,46.22,53,0,10.11
133,Madarounfa,NE,2022-12-18 19:34:43,13.3087,7.156,71.8,21,79,8.61
134,Vardo,NO,2022-12-18 19:34:44,70.3705,31.1107,17.58,86,20,20.71
135,Ilulissat,GL,2022-12-18 19:34:45,69.2167,-51.1,24.82,36,83,14.97
136,Zhongshan,CN,2022-12-18 19:34:45,21.3226,110.5829,54.27,42,24,8.14
137,Eureka,US,2022-12-18 19:32:37,40.8021,-124.1637,47.25,82,41,3.0
138,Linxia,CN,2022-12-18 19:34:46,35.6003,103.2064,16.93,67,17,0.96
139,Vila Velha,BR,2022-12-18 19:34:47,-20.3297,-40.2925,76.95,83,75,9.22
140,Lebu,CL,2022-12-18 19:31:58,-37.6167,-73.65,62.22,70,32,13.85
141,Dikson,RU,2022-12-18 19:34:48,73.5069,80.5464,4.48,88,100,4.21
142,Coihaique,CL,2022-12-18 19:34:49,-45.5752,-72.0662,63.21,48,40,6.91
143,Xiangxiang,CN,2022-12-18 19:34:38,27.7333,112.5333,37.67,31,58,1.32
144,Muros,ES,2022-12-18 19:34:50,42.7762,-9.0603,61.68,83,100,31.38
145,Canete,CL,2022-12-18 19:34:50,-37.8,-73.4,66.27,61,76,7.43
146,Nyurba,RU,2022-12-18 19:34:51,63.2842,118.3319,-45.6,100,97,4.5
147,Havelock,US,2022-12-18 19:34:52,34.8791,-76.9013,53.94,43,0,8.01
148,Rognan,NO,2022-12-18 19:34:52,67.0953,15.3878,33.94,81,54,10.47
149,Masvingo,ZW,2022-12-18 19:34:53,-20.0637,30.8277,70.29,80,86,2.1
150,Labuhan,ID,2022-12-18 19:34:54,-6.8844,112.2051,78.46,81,3,0.76
151,Atakpame,TG,2022-12-18 19:34:55,7.5333,1.1333,82.71,55,86,5.55
152,Half Moon Bay,US,2022-12-18 19:34:57,37.4636,-122.4286,56.53,77,0,5.75
153,Nortelandia,BR,2022-12-18 19:34:58,-14.4547,-56.8028,80.65,69,98,6.26
154,Riyadh,SA,2022-12-18 19:32:50,24.6877,46.7219,57.34,45,0,6.38
155,Aksay,RU,2022-12-18 19:34:59,47.26,39.87,35.82,72,70,9.95
156,Qena,EG,2022-12-18 19:34:59,26.1615,32.7183,67.96,42,0,2.3
157,Manggar,ID,2022-12-18 19:35:00,-2.8833,108.2667,79.18,78,96,2.39
158,Port Alfred,ZA,2022-12-18 19:35:01,-33.5906,26.891,65.17,84,69,5.79
159,Huangmei,CN,2022-12-18 19:35:03,30.1924,116.025,34.11,38,50,1.88
160,Obo,CF,2022-12-18 19:35:04,5.3998,26.4869,77.14,32,13,3.27
161,Palmer,US,2022-12-18 19:35:04,42.1584,-72.3287,39.24,56,75,10.36
162,Sistranda,NO,2022-12-18 19:35:05,63.7256,8.834,33.76,56,100,24.47
163,Beloha,MG,2022-12-18 19:31:30,-25.1667,45.05,73.9,88,100,9.28
164,Aklavik,CA,2022-12-18 19:35:06,68.2191,-135.0107,-18.4,76,75,2.3
165,Torbay,CA,2022-12-18 19:35:07,47.6666,-52.7314,38.57,96,100,23.02
166,Yazman,PK,2022-12-18 19:35:09,29.1212,71.7446,61.9,23,0,4.63
167,Zhongxing,CN,2022-12-18 19:35:10,33.7039,118.6792,30.4,46,0,8.5
168,Angoche,MZ,2022-12-18 19:35:11,-16.2325,39.9086,77.9,90,100,9.01
169,Saint-Francois,FR,2022-12-18 19:35:11,46.4154,3.9054,35.67,93,95,6.91
170,La Rioja,ES,2022-12-18 19:35:12,42.25,-2.5,31.78,82,65,7.45
171,Esperance,AU,2022-12-18 19:35:13,-33.8667,121.9,57.42,91,3,8.32
172,Arvika,SE,2022-12-18 19:35:14,59.6553,12.5852,30.81,94,100,3.27
173,Puerto Ayora,EC,2022-12-18 19:35:15,-0.7393,-90.3518,82.36,86,57,7.0
174,Nova Olinda Do Norte,BR,2022-12-18 19:35:15,-3.8881,-59.0942,88.97,52,95,3.51
175,Fairbanks,US,2022-12-18 19:33:07,64.8378,-147.7164,-27.44,75,0,0.0
176,Ondjiva,AO,2022-12-18 19:35:18,-17.0667,15.7333,84.24,25,95,9.53
177,Pangnirtung,CA,2022-12-18 19:35:18,66.1451,-65.7125,23.0,68,75,4.61
178,Sur,OM,2022-12-18 19:36:19,22.5667,59.5289,74.08,61,0,6.93
179,Haines Junction,CA,2022-12-18 19:36:20,60.7522,-137.5108,-40.05,67,98,2.3
180,Port Shepstone,ZA,2022-12-18 19:36:21,-30.7414,30.455,70.32,77,96,5.77
181,Char Bhadrasan,BD,2022-12-18 19:36:22,23.3167,90.2167,65.3,59,14,1.61
182,Jumilla,ES,2022-12-18 19:36:23,38.4792,-1.325,50.52,80,26,3.87
183,Saint George,US,2022-12-18 19:34:35,37.1041,-113.5841,46.63,39,0,4.0
184,Snyder,US,2022-12-18 19:36:24,32.7179,-100.9176,52.32,28,0,16.11
185,Lorengau,PG,2022-12-18 19:36:24,-2.0226,147.2712,80.69,77,100,2.82
186,Marrakesh,MA,2022-12-18 19:36:25,31.6315,-8.0083,64.47,52,0,1.14
187,Codrington,AU,2022-12-18 19:36:26,-38.2667,141.9667,48.38,90,2,10.38
188,Vanimo,PG,2022-12-18 19:36:27,-2.6741,141.3028,76.21,91,75,2.75
189,Rovaniemi,FI,2022-12-18 19:36:27,66.5,25.7167,26.01,93,100,9.22
